Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area,COVID_Period,Year,Month,Month_Name,Year_Month,Pre_COVID_Regional_Avg,COVID_Deviation
Andhra Pradesh,2019-05-31,Monthly,3.65,11999139.0,43.24,Rural,Pre-COVID,2019,5,May,2019-05,5.0375,-1.3874999999999997
Andhra Pradesh,2019-06-30,Monthly,3.05,11755881.0,42.05,Rural,Pre-COVID,2019,6,Jun,2019-06,5.0375,-1.9874999999999998
Andhra Pradesh,2019-07-31,Monthly,3.75,12086707.0,43.5,Rural,Pre-COVID,2019,7,Jul,2019-07,5.0375,-1.2874999999999996
Andhra Pradesh,2019-08-31,Monthly,3.32,12285693.0,43.97,Rural,Pre-COVID,2019,8,Aug,2019-08,5.0375,-1.7174999999999998
Andhra Pradesh,2019-09-30,Monthly,5.17,12256762.0,44.68,Rural,Pre-COVID,2019,9,Sep,2019-09,5.0375,0.13250000000000028
Andhra Pradesh,2019-10-31,Monthly,3.52,12017412.0,43.01,Rural,Pre-COVID,2019,10,Oct,2019-10,5.0375,-1.5174999999999996
Andhra Pradesh,2019-11-30,Monthly,4.12,11397681.0,41.0,Rural,Pre-COVID,2019,11,Nov,2019-11,5.0375,-0.9174999999999995
Andhra Pradesh,2019-12-31,Monthly,4.38,12528395.0,45.14,Rural,Pre-COVID,2019,12,Dec,2019-12,5.0375,-0.6574999999999998
Andhra Pradesh,2020-01-31,Monthly,4.84,12016676.0,43.46,Rural,Pre-COVID,2020,1,Jan,2020-01,5.0375,-0.1974999999999998
Andhra Pradesh,2020-02-29,Monthly,5.91,11723617.0,42.83,Rural,Pre-COVID,2020,2,Feb,2020-02,5.0375,0.8725000000000005
Andhra Pradesh,2020-03-31,Monthly,4.06,11359660.0,40.66,Rural,COVID,2020,3,Mar,2020-03,5.0375,-0.9775
Andhra Pradesh,2020-04-30,Monthly,16.29,8792827.0,36.03,Rural,COVID,2020,4,Apr,2020-04,5.0375,11.2525
Andhra Pradesh,2020-05-31,Monthly,14.46,9526902.0,38.16,Rural,COVID,2020,5,May,2020-05,5.0375,9.422500000000001
Andhra Pradesh,2020-06-30,Monthly,0.85,15572975.0,53.76,Rural,COVID,2020,6,Jun,2020-06,5.0375,-4.1875
Andhra Pradesh,2019-05-31,Monthly,6.09,4788661.0,37.45,Urban,Pre-COVID,2019,5,May,2019-05,5.0375,1.0525000000000002
Andhra Pradesh,2019-06-30,Monthly,3.8,4824630.0,36.76,Urban,Pre-COVID,2019,6,Jun,2019-06,5.0375,-1.2374999999999998
Andhra Pradesh,2019-07-31,Monthly,5.64,4657443.0,36.1,Urban,Pre-COVID,2019,7,Jul,2019-07,5.0375,0.6025
Andhra Pradesh,2019-08-31,Monthly,4.61,4743179.0,36.29,Urban,Pre-COVID,2019,8,Aug,2019-08,5.0375,-0.4274999999999993
Andhra Pradesh,2019-09-30,Monthly,6.01,4733996.0,36.69,Urban,Pre-COVID,2019,9,Sep,2019-09,5.0375,0.9725000000000001
Andhra Pradesh,2019-10-31,Monthly,4.7,4774377.0,36.41,Urban,Pre-COVID,2019,10,Oct,2019-10,5.0375,-0.33749999999999947
Andhra Pradesh,2019-11-30,Monthly,7.54,4668772.0,36.62,Urban,Pre-COVID,2019,11,Nov,2019-11,5.0375,2.5025000000000004
Andhra Pradesh,2019-12-31,Monthly,7.88,4913963.0,38.61,Urban,Pre-COVID,2019,12,Dec,2019-12,5.0375,2.8425000000000002
Andhra Pradesh,2020-01-31,Monthly,7.11,4618860.0,35.91,Urban,Pre-COVID,2020,1,Jan,2020-01,5.0375,2.0725000000000007
Andhra Pradesh,2020-02-29,Monthly,5.66,4822035.0,36.84,Urban,Pre-COVID,2020,2,Feb,2020-02,5.0375,0.6225000000000005
Andhra Pradesh,2020-03-31,Monthly,9.88,4521537.0,36.08,Urban,COVID,2020,3,Mar,2020-03,5.0375,4.842500000000001
Andhra Pradesh,2020-04-30,Monthly,32.3,2544084.0,26.97,Urban,COVID,2020,4,Apr,2020-04,5.0375,27.262499999999996
Andhra Pradesh,2020-05-31,Monthly,24.91,3428356.0,32.69,Urban,COVID,2020,5,May,2020-05,5.0375,19.872500000000002
Andhra Pradesh,2020-06-30,Monthly,5.86,4954389.0,37.61,Urban,COVID,2020,6,Jun,2020-06,5.0375,0.8225000000000007
Assam,2019-05-31,Monthly,4.29,11749334.0,57.39,Rural,Pre-COVID,2019,5,May,2019-05,6.372631578947368,-2.0826315789473684
Assam,2019-06-30,Monthly,5.08,8923222.0,43.87,Rural,Pre-COVID,2019,6,Jun,2019-06,6.372631578947368,-1.2926315789473684
Assam,2019-07-31,Monthly,4.26,9911534.0,48.21,Rural,Pre-COVID,2019,7,Jul,2019-07,6.372631578947368,-2.1126315789473686
Assam,2019-08-31,Monthly,5.79,9292039.0,45.83,Rural,Pre-COVID,2019,8,Aug,2019-08,6.372631578947368,-0.5826315789473684
Assam,2019-09-30,Monthly,4.46,11468349.0,55.67,Rural,Pre-COVID,2019,9,Sep,2019-09,6.372631578947368,-1.9126315789473685
Assam,2019-10-31,Monthly,4.65,8395906.0,40.76,Rural,Pre-COVID,2019,10,Oct,2019-10,6.372631578947368,-1.722631578947368
Assam,2019-11-30,Monthly,4.66,9625362.0,46.64,Rural,Pre-COVID,2019,11,Nov,2019-11,6.372631578947368,-1.7126315789473683
Assam,2020-01-31,Monthly,4.29,11420996.0,54.9,Rural,Pre-COVID,2020,1,Jan,2020-01,6.372631578947368,-2.0826315789473684
Assam,2020-02-29,Monthly,3.26,8462814.0,40.17,Rural,Pre-COVID,2020,2,Feb,2020-02,6.372631578947368,-3.1126315789473686
Assam,2020-03-31,Monthly,3.77,9878742.0,47.05,Rural,COVID,2020,3,Mar,2020-03,6.372631578947368,-2.6026315789473684
Assam,2020-05-31,Monthly,9.38,9926176.0,50.0,Rural,COVID,2020,5,May,2020-05,6.372631578947368,3.0073684210526324
Assam,2020-06-30,Monthly,0.0,7544937.0,34.38,Rural,COVID,2020,6,Jun,2020-06,6.372631578947368,-6.372631578947368
Assam,2019-05-31,Monthly,7.87,1671707.0,44.92,Urban,Pre-COVID,2019,5,May,2019-05,6.372631578947368,1.4973684210526317
Assam,2019-06-30,Monthly,9.89,1647342.0,45.17,Urban,Pre-COVID,2019,6,Jun,2019-06,6.372631578947368,3.517368421052632
Assam,2019-07-31,Monthly,3.21,1739838.0,44.32,Urban,Pre-COVID,2019,7,Jul,2019-07,6.372631578947368,-3.1626315789473685
Assam,2019-08-31,Monthly,10.39,1595582.0,43.81,Urban,Pre-COVID,2019,8,Aug,2019-08,6.372631578947368,4.017368421052632
Assam,2019-09-30,Monthly,9.26,1576480.0,42.66,Urban,Pre-COVID,2019,9,Sep,2019-09,6.372631578947368,2.8873684210526314
Assam,2019-10-31,Monthly,11.17,1595176.0,44.01,Urban,Pre-COVID,2019,10,Oct,2019-10,6.372631578947368,4.7973684210526315
Assam,2019-11-30,Monthly,6.31,1708045.0,44.59,Urban,Pre-COVID,2019,11,Nov,2019-11,6.372631578947368,-0.06263157894736882
Assam,2019-12-31,Monthly,5.02,1722303.0,44.26,Urban,Pre-COVID,2019,12,Dec,2019-12,6.372631578947368,-1.3526315789473689
Assam,2020-01-31,Monthly,7.24,1630908.0,42.82,Urban,Pre-COVID,2020,1,Jan,2020-01,6.372631578947368,0.8673684210526318
Assam,2020-02-29,Monthly,9.98,1625454.0,43.9,Urban,Pre-COVID,2020,2,Feb,2020-02,6.372631578947368,3.607368421052632
Assam,2020-03-31,Monthly,10.34,1664145.0,45.03,Urban,COVID,2020,3,Mar,2020-03,6.372631578947368,3.9673684210526314
Assam,2020-04-30,Monthly,8.37,1454956.0,38.45,Urban,COVID,2020,4,Apr,2020-04,6.372631578947368,1.9973684210526308
Assam,2020-05-31,Monthly,10.77,1441722.0,39.04,Urban,COVID,2020,5,May,2020-05,6.372631578947368,4.397368421052631
Assam,2020-06-30,Monthly,3.42,1551007.0,38.73,Urban,COVID,2020,6,Jun,2020-06,6.372631578947368,-2.9526315789473685
Bihar,2019-05-31,Monthly,9.27,24322330.0,39.75,Rural,Pre-COVID,2019,5,May,2019-05,13.832999999999998,-4.562999999999999
Bihar,2019-06-30,Monthly,10.2,24097712.0,39.71,Rural,Pre-COVID,2019,6,Jun,2019-06,13.832999999999998,-3.632999999999999
Bihar,2019-07-31,Monthly,13.44,23248875.0,39.66,Rural,Pre-COVID,2019,7,Jul,2019-07,13.832999999999998,-0.3929999999999989
Bihar,2019-08-31,Monthly,11.0,22260203.0,36.85,Rural,Pre-COVID,2019,8,Aug,2019-08,13.832999999999998,-2.8329999999999984
Bihar,2019-09-30,Monthly,8.87,23905700.0,38.57,Rural,Pre-COVID,2019,9,Sep,2019-09,13.832999999999998,-4.962999999999999
Bihar,2019-10-31,Monthly,12.47,24053140.0,40.31,Rural,Pre-COVID,2019,10,Oct,2019-10,13.832999999999998,-1.3629999999999978
Bihar,2019-11-30,Monthly,12.4,22445989.0,37.51,Rural,Pre-COVID,2019,11,Nov,2019-11,13.832999999999998,-1.432999999999998
Bihar,2019-12-31,Monthly,10.16,22914530.0,37.25,Rural,Pre-COVID,2019,12,Dec,2019-12,13.832999999999998,-3.6729999999999983
Bihar,2020-01-31,Monthly,9.13,23409006.0,37.54,Rural,Pre-COVID,2020,1,Jan,2020-01,13.832999999999998,-4.702999999999998
Bihar,2020-02-29,Monthly,9.61,23168192.0,37.28,Rural,Pre-COVID,2020,2,Feb,2020-02,13.832999999999998,-4.222999999999999
Bihar,2020-03-31,Monthly,15.39,22667882.0,38.88,Rural,COVID,2020,3,Mar,2020-03,13.832999999999998,1.5570000000000022
Bihar,2020-04-30,Monthly,45.09,14645275.0,38.63,Rural,COVID,2020,4,Apr,2020-04,13.832999999999998,31.257000000000005
Bihar,2020-05-31,Monthly,47.26,14050319.0,38.5,Rural,COVID,2020,5,May,2020-05,13.832999999999998,33.427
Bihar,2020-06-30,Monthly,20.49,20622566.0,37.4,Rural,COVID,2020,6,Jun,2020-06,13.832999999999998,6.657
Bihar,2019-05-31,Monthly,19.9,3029344.0,39.8,Urban,Pre-COVID,2019,5,May,2019-05,13.832999999999998,6.067
Bihar,2019-06-30,Monthly,13.29,3248864.0,39.35,Urban,Pre-COVID,2019,6,Jun,2019-06,13.832999999999998,-0.5429999999999993
Bihar,2019-07-31,Monthly,16.41,3059744.0,38.36,Urban,Pre-COVID,2019,7,Jul,2019-07,13.832999999999998,2.5770000000000017
Bihar,2019-08-31,Monthly,17.66,2994763.0,38.03,Urban,Pre-COVID,2019,8,Aug,2019-08,13.832999999999998,3.8270000000000017
Bihar,2019-09-30,Monthly,20.46,2992082.0,39.25,Urban,Pre-COVID,2019,9,Sep,2019-09,13.832999999999998,6.6270000000000024
Bihar,2019-10-31,Monthly,14.06,3173429.0,38.45,Urban,Pre-COVID,2019,10,Oct,2019-10,13.832999999999998,0.2270000000000021
Bihar,2019-11-30,Monthly,17.62,3081077.0,38.86,Urban,Pre-COVID,2019,11,Nov,2019-11,13.832999999999998,3.7870000000000026
Bihar,2019-12-31,Monthly,14.91,2977857.0,36.29,Urban,Pre-COVID,2019,12,Dec,2019-12,13.832999999999998,1.0770000000000017
Bihar,2020-01-31,Monthly,20.69,2988665.0,38.99,Urban,Pre-COVID,2020,1,Jan,2020-01,13.832999999999998,6.857000000000003
Bihar,2020-02-29,Monthly,15.11,3113464.0,37.87,Urban,Pre-COVID,2020,2,Feb,2020-02,13.832999999999998,1.277000000000001
Bihar,2020-03-31,Monthly,15.73,3049637.0,37.29,Urban,COVID,2020,3,Mar,2020-03,13.832999999999998,1.897000000000002
Bihar,2020-04-30,Monthly,58.77,1400962.0,34.94,Urban,COVID,2020,4,Apr,2020-04,13.832999999999998,44.937000000000005
Bihar,2020-05-31,Monthly,37.87,2207026.0,36.45,Urban,COVID,2020,5,May,2020-05,13.832999999999998,24.037
Bihar,2020-06-30,Monthly,12.45,3124663.0,36.54,Urban,COVID,2020,6,Jun,2020-06,13.832999999999998,-1.3829999999999991
Chandigarh,2019-05-31,Monthly,18.35,348042.0,44.89,Urban,Pre-COVID,2019,5,May,2019-05,16.325,2.025000000000002
Chandigarh,2019-06-30,Monthly,12.4,337145.0,40.44,Urban,Pre-COVID,2019,6,Jun,2019-06,16.325,-3.924999999999999
Chandigarh,2019-07-31,Monthly,21.8,294379.0,39.47,Urban,Pre-COVID,2019,7,Jul,2019-07,16.325,5.475000000000001
Chandigarh,2019-08-31,Monthly,9.52,328282.0,37.95,Urban,Pre-COVID,2019,8,Aug,2019-08,16.325,-6.805
Chandigarh,2019-09-30,Monthly,20.14,327239.0,42.77,Urban,Pre-COVID,2019,9,Sep,2019-09,16.325,3.8150000000000013
Chandigarh,2019-10-31,Monthly,13.99,330856.0,40.06,Urban,Pre-COVID,2019,10,Oct,2019-10,16.325,-2.334999999999999
Chandigarh,2019-11-30,Monthly,22.05,289593.0,38.6,Urban,Pre-COVID,2019,11,Nov,2019-11,16.325,5.725000000000001
Chandigarh,2019-12-31,Monthly,8.33,311146.0,35.19,Urban,Pre-COVID,2019,12,Dec,2019-12,16.325,-7.994999999999999
Chandigarh,2020-01-31,Monthly,20.0,332062.0,42.94,Urban,Pre-COVID,2020,1,Jan,2020-01,16.325,3.6750000000000007
Chandigarh,2020-02-29,Monthly,16.67,316887.0,39.25,Urban,Pre-COVID,2020,2,Feb,2020-02,16.325,0.3450000000000024
Chandigarh,2020-03-31,Monthly,21.43,279839.0,36.68,Urban,COVID,2020,3,Mar,2020-03,16.325,5.105
Chandigarh,2020-06-30,Monthly,7.22,306505.0,33.8,Urban,COVID,2020,6,Jun,2020-06,16.325,-9.105
Chhattisgarh,2019-05-31,Monthly,9.82,6259019.0,42.89,Rural,Pre-COVID,2019,5,May,2019-05,7.7065,2.1135
Chhattisgarh,2019-06-30,Monthly,6.76,6608626.0,43.71,Rural,Pre-COVID,2019,6,Jun,2019-06,7.7065,-0.9465000000000003
Chhattisgarh,2019-07-31,Monthly,4.54,6753622.0,43.53,Rural,Pre-COVID,2019,7,Jul,2019-07,7.7065,-3.1665
